checkpoint,rideflux_aggregate_score,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,accuracy
model_12290560,0.8704,0.89285,0.9485,0.03516,0.04948,0.0026,0.94792
model_13314560,0.86997,0.90002,0.92649,0.03646,0.04948,0.0,0.95052
model_20482560,0.86892,0.88967,0.94778,0.03646,0.04948,0.0013,0.94922
model_770560,0.8686,0.9367,0.86587,0.04167,0.0599,0.01302,0.92708
model_18946560,0.86747,0.88064,0.95878,0.03255,0.04818,0.0,0.95182
model_10242560,0.86607,0.8805,0.95664,0.03385,0.05078,0.0,0.94922
model_12802560,0.86588,0.8936,0.92702,0.02734,0.04557,0.00391,0.95052
model_12034560,0.86482,0.89251,0.94774,0.04036,0.05599,0.0,0.94401
model_17410560,0.86471,0.89625,0.92074,0.03516,0.05078,0.0,0.94922
model_7682560,0.8631,0.88671,0.92286,0.03385,0.04427,0.0,0.95573
model_8962560,0.86271,0.8792,0.95512,0.03385,0.04948,0.0013,0.94922
model_5378560,0.86162,0.88127,0.94632,0.04036,0.05208,0.0,0.94792
model_4354560,0.86112,0.88451,0.95062,0.02995,0.05078,0.00651,0.94271
model_16386560,0.86077,0.88283,0.94595,0.03516,0.05208,0.00391,0.94401
model_16642560,0.85956,0.90319,0.93972,0.03385,0.04688,0.02214,0.93099
model_17666560,0.85953,0.8808,0.94326,0.03255,0.05339,0.0,0.94661
model_final,0.8584,0.88715,0.93015,0.04036,0.05599,0.0013,0.94271
model_7170560,0.85739,0.87666,0.95851,0.03646,0.05339,0.00521,0.94141
model_1794560,0.85646,0.89376,0.94488,0.04557,0.0625,0.00391,0.93359
model_2818560,0.85607,0.88516,0.94303,0.03646,0.0599,0.0,0.9401
model_19714560,0.85483,0.86745,0.95897,0.03125,0.05208,0.0,0.94792
model_9986560,0.85471,0.87021,0.95713,0.03646,0.05339,0.0013,0.94531
model_1538560,0.85432,0.90314,0.95234,0.05469,0.07552,0.00521,0.91927
model_4610560,0.85243,0.86982,0.94329,0.03646,0.05078,0.00651,0.94271
model_15618560,0.85154,0.87166,0.94303,0.03385,0.05078,0.0026,0.94661
model_20994560,0.85094,0.8744,0.95738,0.04036,0.05859,0.00391,0.9375
model_22274560,0.85035,0.8681,0.94139,0.03385,0.05208,0.0,0.94792
model_8194560,0.84886,0.85688,0.96547,0.03255,0.04818,0.0026,0.94922
model_4866560,0.84776,0.87214,0.93224,0.04167,0.0599,0.0013,0.9388
model_3074560,0.84766,0.87509,0.94372,0.03646,0.04948,0.01562,0.9349
model_3586560,0.84612,0.85329,0.95485,0.03385,0.05208,0.0,0.94792
model_6402560,0.84593,0.86153,0.96708,0.03646,0.0625,0.0026,0.9349
model_14594560,0.84542,0.85059,0.95709,0.03255,0.04948,0.0,0.95052
model_3330560,0.84497,0.86679,0.93429,0.04167,0.05729,0.0026,0.9401
model_18690560,0.84256,0.86147,0.949,0.03906,0.0599,0.0013,0.9401
model_8706560,0.84246,0.85526,0.96268,0.04167,0.0599,0.0026,0.9375
model_10754560,0.84209,0.85777,0.94648,0.03516,0.05469,0.0026,0.94271
model_9218560,0.84173,0.8664,0.92677,0.03906,0.05208,0.00781,0.9401
model_6146560,0.84111,0.85267,0.94159,0.03516,0.05078,0.0,0.94922
model_14338560,0.84048,0.84941,0.95336,0.03776,0.05339,0.0,0.94661
model_15362560,0.83911,0.85502,0.94046,0.03776,0.04818,0.00651,0.94531
model_19202560,0.8391,0.85896,0.95264,0.04036,0.0638,0.0,0.9362
model_11266560,0.83736,0.85537,0.93297,0.04167,0.05469,0.0013,0.94401
model_8450560,0.83626,0.86398,0.93492,0.04427,0.06641,0.00391,0.92969
model_13570560,0.836,0.86479,0.95181,0.04948,0.06771,0.0,0.93229
model_3842560,0.83472,0.86281,0.93899,0.04557,0.06641,0.0026,0.93099
model_6658560,0.83458,0.85131,0.93111,0.03906,0.05208,0.0026,0.94531
model_24322560,0.83391,0.85456,0.92955,0.03646,0.05729,0.0013,0.94141
model_20738560,0.83119,0.84531,0.94161,0.03906,0.05469,0.0013,0.94401
model_5890560,0.82717,0.83339,0.94175,0.03646,0.05208,0.0,0.94792
model_13826560,0.82565,0.83711,0.95078,0.03776,0.0599,0.0013,0.9401
model_13058560,0.82536,0.84126,0.93381,0.03776,0.05469,0.00391,0.94141
model_7938560,0.82464,0.86187,0.95429,0.03646,0.04818,0.03516,0.91667
model_12546560,0.82373,0.84976,0.9426,0.04167,0.0612,0.01432,0.92448
model_5634560,0.82208,0.83804,0.94066,0.04557,0.0651,0.0013,0.93359
model_24066560,0.82007,0.82451,0.96479,0.03646,0.0599,0.0,0.9401
model_6914560,0.81715,0.83424,0.95264,0.03516,0.05208,0.01693,0.93099
model_23298560,0.81658,0.82089,0.94318,0.03516,0.05469,0.0,0.94531
model_514560,0.81406,0.88181,0.8827,0.0599,0.08333,0.02865,0.88802
model_9730560,0.81242,0.82581,0.92555,0.04036,0.0599,0.0,0.9401
model_17154560,0.8098,0.82946,0.90536,0.04297,0.0651,0.0013,0.93359
model_4098560,0.80605,0.83259,0.93682,0.05339,0.07161,0.0026,0.92578
model_24578560,0.80172,0.80456,0.95644,0.04427,0.0625,0.0013,0.9362
model_1026560,0.78464,0.85304,0.89356,0.05599,0.07552,0.04818,0.8763
model_5122560,0.78267,0.79353,0.93914,0.05339,0.07552,0.0,0.92448
model_258560,0.56379,0.82374,0.84413,0.10417,0.1224,0.26823,0.61068
model_2560,0.2048,0.3887,0.99619,0.09115,0.10417,0.67839,0.21875
