scenario_index,groups
2568,GOOD_BOTH
2580,LOW_PROGRESS_SAFE
2583,LOW_COMFORT_SAFE
2588,GOOD_BOTH
2598,LOW_PROGRESS_SAFE
2601,GOOD_BOTH
2609,LOW_PROGRESS_SAFE
2621,LOW_COMFORT_SAFE
2646,TRADEOFF_BAD
2654,GOOD_BOTH
2658,GOOD_BOTH
2673,NEW_OVERLAP
2681,LOW_PROGRESS_SAFE
2682,LOW_COMFORT_SAFE
2689,TRADEOFF_BAD|LOW_COMFORT_SAFE
2692,GOOD_BOTH
2697,GOOD_BOTH
2699,TRADEOFF_BAD
2700,NEW_OVERLAP
2704,TRADEOFF_BAD|LOW_COMFORT_SAFE
2706,LOW_COMFORT_SAFE
2708,GOOD_BOTH
2718,GOOD_BOTH
2729,GOOD_BOTH
2730,GOOD_BOTH
2747,LOW_COMFORT_SAFE
2752,TRADEOFF_BAD|LOW_COMFORT_SAFE
2762,TRADEOFF_BAD
2785,TRADEOFF_BAD
2791,NEW_OVERLAP
2795,TRADEOFF_BAD
2799,LOW_PROGRESS_SAFE
2805,TRADEOFF_BAD
2823,NEW_OVERLAP
2847,TRADEOFF_BAD
2848,LOW_PROGRESS_SAFE
2857,GOOD_BOTH
2860,LOW_PROGRESS_SAFE
2861,TRADEOFF_BAD|LOW_COMFORT_SAFE
2864,TRADEOFF_BAD|LOW_COMFORT_SAFE
2882,LOW_PROGRESS_SAFE
2891,LOW_COMFORT_SAFE
2895,TRADEOFF_BAD
2902,TRADEOFF_BAD|LOW_COMFORT_SAFE
2907,TRADEOFF_BAD|LOW_COMFORT_SAFE
2908,TRADEOFF_BAD|LOW_COMFORT_SAFE
2911,TRADEOFF_BAD
2913,TRADEOFF_BAD
2922,LOW_PROGRESS_SAFE
2923,LOW_COMFORT_SAFE
2938,NEW_OVERLAP
2947,LOW_PROGRESS_SAFE
2975,LOW_PROGRESS_SAFE
2977,TRADEOFF_BAD
3001,NEW_OVERLAP
3018,TRADEOFF_BAD|LOW_COMFORT_SAFE
3025,NEW_OVERLAP
3035,LOW_COMFORT_SAFE
3037,TRADEOFF_BAD|LOW_PROGRESS_SAFE
3039,LOW_COMFORT_SAFE
3040,GOOD_BOTH
3042,GOOD_BOTH
3066,TRADEOFF_BAD|LOW_COMFORT_SAFE
