scenario_index,episode_length,accuracy,at_fault_collision,comfort,distance_into_oncoming_traffic,nuplan_driving_direction_compliance,log_divergence,offroad,offroad_in_box,distance_on_multiple_lanes,time_on_multiple_lanes,multiple_lanes_score,overlap,progress_ratio,making_progress,run_red_light,sdc_off_route,sdc_progression,sdc_wrongway,max_overspeed_m_per_s,max_overspeed_km_per_h,nuplan_speed_compliance,min_ttc,average_ttc,ttc_within_bound,nuplan_aggregate_score,vmax_aggregate_score,rideflux_aggregate_score,fail_accuracy,fail_overlap,fail_offroad,fail_at_fault_collision,fail_overlap_and_offroad,fail_collision_and_overlap,at_fault_without_overlap,low_progress_05,low_progress_07,low_comfort_05,low_rideflux_05,zero_rideflux,primary_category
43,80,1,0.0,0.875,0.0,1.0,12.641329,1.0,0.0,159.74286,8.0,0.0,0.0,0.82474875,1.0,0.0,0.0,0.0,0.0,4.0274143,14.498692,0.6209902,5.0,5.0,1.0,0.0,0.0,0.83982414,False,False,False,False,False,False,False,False,False,False,False,False,PASS
44,80,1,0.0,0.6,0.0,1.0,5.9723363,0.0,0.0,158.6445,8.0,0.0,0.0,0.89689106,1.0,0.0,0.0,0.0,0.0,1.9170017,6.901206,0.8311555,4.6,4.9950004,1.0,0.8755673,0.7373198,0.8078238,False,False,False,False,False,False,False,False,False,False,False,False,PASS
45,80,1,0.0,0.6125,0.0,1.0,8.3027935,0.0,0.0,115.38686,6.800000000000001,0.0,0.0,0.86235136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9085473,0.76509243,0.78739595,False,False,False,False,False,False,False,False,False,False,False,False,PASS
46,80,1,0.0,0.8,0.0,1.0,12.902605,0.0,0.0,141.01471,7.2,0.0,0.0,0.8154887,1.0,0.0,0.0,0.0,0.0,3.6145973,13.01255,0.67862594,5.0,5.0,1.0,0.8369968,0.7048394,0.81084216,False,False,False,False,False,False,False,False,False,False,False,False,PASS
47,80,1,0.0,0.8875,0.0,1.0,2.503606,0.0,0.0,111.79027,6.7,0.0,0.0,0.9368209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.96619403,0.8136371,0.92202467,False,False,False,False,False,False,False,False,False,False,False,False,PASS
48,80,1,0.0,1.0,0.0,1.0,0.86331475,1.0,0.0,1.2372077,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,4.8025002,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
49,80,1,0.0,1.0,0.0,1.0,0.26853296,1.0,0.0,0.2622235,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
50,80,1,0.0,0.875,0.0,1.0,11.440147,1.0,0.0,138.17502,7.6,0.0,0.0,0.84115267,1.0,0.0,0.0,0.0,0.0,1.5818748,5.6947494,0.93046474,5.0,5.0,1.0,0.0,0.0,0.8513069,False,False,False,False,False,False,False,False,False,False,False,False,PASS
51,64,0,0.0,1.0,0.0,1.0,4.9168015,1.0,1.0,1.1562176,0.6000000000000001,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,3.75625,1.0,0.0,0.0,0.0,True,False,True,False,False,False,False,False,False,False,True,True,OFFROAD
52,80,1,0.0,0.6625,1.4382602,1.0,14.656794,1.0,0.0,70.69574,8.0,0.0,0.0,0.6294694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8000001,4.38875,1.0,0.0,0.0,0.6393786,False,False,False,False,False,False,False,False,True,False,False,False,PASS
53,80,1,0.0,0.875,0.0,1.0,2.404581,1.0,0.0,51.150444,8.0,0.0,0.0,0.9616851,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.9356796,False,False,False,False,False,False,False,False,False,False,False,False,PASS
54,80,1,0.0,1.0,0.0,1.0,0.19671166,0.0,0.0,0.18995288,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
55,80,1,0.0,0.6,0.0,1.0,7.5403366,1.0,0.0,98.72397,4.7,0.5,0.0,0.8755179,1.0,0.0,0.0,0.0,0.0,3.8602905,13.897045,0.31416488,5.0,5.0,1.0,0.0,0.0,0.7928626,False,False,False,False,False,False,False,False,False,False,False,False,PASS
56,80,1,0.0,1.0,0.0,1.0,0.23140478,0.0,0.0,0.2361599,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
57,80,1,0.0,0.77500004,0.0,1.0,12.702904,1.0,0.0,191.7278,8.0,0.0,0.0,0.987499,1.0,0.0,0.0,0.0,0.0,4.0601425,14.616512,0.0,5.0,5.0,1.0,0.0,0.0,0.92374927,False,False,False,False,False,False,False,False,False,False,False,False,PASS
58,80,1,0.0,1.0,0.0,1.0,11.752553,1.0,0.0,34.573803,3.2,1.5,0.0,0.7408749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.8186125,False,False,False,False,False,False,False,False,False,False,False,False,PASS
59,80,1,0.0,1.0,0.0,1.0,0.15361492,0.0,0.0,0.15154739,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
60,80,1,0.0,1.0,0.0,1.0,1.3799986,1.0,0.0,2.484134,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,4.7575,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
61,80,1,0.0,0.85,0.0,1.0,6.998871,0.0,0.0,48.099354,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.9512496,1.0,0.98125,0.82631576,0.95500004,False,False,False,False,False,False,False,False,False,False,False,False,PASS
62,80,1,0.0,0.7625,0.0,1.0,14.442215,1.0,0.0,108.727646,5.4,0.5,0.0,0.79989046,1.0,0.0,0.0,0.0,0.0,3.3710327,12.135717,0.75400686,5.0,5.0,1.0,0.0,0.0,0.78867334,False,False,False,False,False,False,False,False,False,False,False,False,PASS
63,80,1,0.0,0.8875,0.0,1.0,2.969652,1.0,0.0,89.722115,7.9,0.0,0.0,0.9763869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.9497208,False,False,False,False,False,False,False,False,False,False,False,False,PASS
64,80,1,0.0,1.0,0.0,1.0,9.285274,1.0,0.0,82.221214,4.800000000000001,0.5,0.0,0.8375344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.88627416,False,False,False,False,False,False,False,False,False,False,False,False,PASS
65,80,1,0.0,0.85,0.0,1.0,3.756813,0.0,0.0,9.955087,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,4.95625,1.0,0.98125,0.98421055,0.95500004,False,False,False,False,False,False,False,False,False,False,False,False,PASS
66,80,1,0.0,0.8875,0.0,1.0,13.006235,1.0,0.0,81.97992,5.4,0.5,0.0,0.7818373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.8135361,False,False,False,False,False,False,False,False,False,False,False,False,PASS
67,80,1,0.0,0.8875,0.0,1.0,3.7400482,0.0,0.0,83.11906,8.0,0.0,0.0,0.9130892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.95877784,0.8073919,0.9054125,False,False,False,False,False,False,False,False,False,False,False,False,PASS
68,80,1,0.0,1.0,0.0,1.0,0.26176128,0.0,0.0,0.23666176,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4.4962497,0.0,0.6875,0.57894737,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
69,80,1,0.0,0.875,0.0,1.0,18.211353,1.0,0.0,59.796432,3.1,1.5,0.0,0.7315259,1.0,0.0,0.0,0.0,0.0,1.8230648,6.563033,0.9359968,5.0,5.0,1.0,0.0,0.0,0.77456814,False,False,False,False,False,False,False,False,False,False,False,False,PASS
70,80,1,0.0,1.0,0.0,1.0,0.118067645,1.0,0.0,0.31392616,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
71,80,1,0.0,0.725,0.0,1.0,10.444575,1.0,0.0,150.60959,8.0,0.0,0.0,0.83557844,1.0,0.0,0.0,0.0,0.0,2.2326584,8.03757,0.84068227,5.0,5.0,1.0,0.0,0.0,0.802405,False,False,False,False,False,False,False,False,False,False,False,False,PASS
72,80,1,0.0,0.5125,0.0,1.0,1.7388287,1.0,0.0,91.43971,8.0,0.0,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,4.8700004,1.0,0.0,0.0,0.85374993,False,False,False,False,False,False,False,False,False,False,False,False,PASS
73,80,1,0.0,0.875,0.0,1.0,5.138158,1.0,0.0,100.47761,8.0,0.0,0.0,0.8960601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,4.6800003,1.0,0.0,0.0,0.8897421,False,False,False,False,False,False,False,False,False,False,False,False,PASS
74,8,0,0.0,1.0,0.0,1.0,0.0015139702,1.0,0.0,0.0043552984,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,False,False,True,True,OVERLAP
75,80,1,0.0,1.0,0.0,1.0,0.3081741,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
76,80,1,0.0,0.925,0.0,1.0,3.4086404,1.0,0.0,6.2595787,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.97749996,False,False,False,False,False,False,False,False,False,False,False,False,PASS
77,80,1,0.0,0.83750004,0.0,1.0,12.288642,1.0,0.0,140.9931,8.0,0.0,0.0,0.7997132,1.0,0.0,0.0,0.0,0.0,1.9625587,7.0652113,0.9348311,5.0,5.0,1.0,0.0,0.0,0.8110493,False,False,False,False,False,False,False,False,False,False,False,False,PASS
78,80,1,0.0,0.925,0.0,1.0,2.2345655,0.0,0.0,31.317068,5.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.9900002,1.0,0.990625,0.91315794,0.97749996,False,False,False,False,False,False,False,False,False,False,False,False,PASS
79,80,1,0.0,1.0,0.0,1.0,3.2676556,1.0,0.0,48.08099,6.5,0.0,0.0,0.8760959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,4.86,1.0,0.0,0.0,0.91326714,False,False,False,False,False,False,False,False,False,False,False,False,PASS
80,80,1,0.0,1.0,0.0,1.0,0.25096345,0.0,0.0,0.2417744,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
81,80,1,0.0,0.7875,0.0,1.0,11.072612,1.0,0.0,98.53825,7.300000000000001,0.0,0.0,0.76512855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.77184004,False,False,False,False,False,False,False,False,False,False,False,False,PASS
82,80,1,0.0,0.85,0.0,1.0,4.3469367,1.0,0.0,65.228806,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.95500004,False,False,False,False,False,False,False,False,False,False,False,False,PASS
83,80,1,0.0,1.0,0.0,1.0,1.2684127,1.0,0.0,27.03807,3.9,0.5,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
84,80,1,0.0,0.8875,0.0,1.0,9.710437,1.0,0.0,80.78113,8.0,0.0,0.0,0.7885698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.81824887,False,False,False,False,False,False,False,False,False,False,False,False,PASS
85,80,1,0.0,0.9125,0.0,1.0,14.309058,1.0,0.0,70.18706,7.300000000000001,0.0,0.0,0.687449,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.7549643,False,False,False,False,False,False,False,False,True,False,False,False,PASS
86,80,1,0.0,0.8875,0.0,1.0,9.323404,0.0,0.0,27.839228,3.6,0.5,0.0,0.7720542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.91470444,0.8492248,0.80668795,False,False,False,False,False,False,False,False,False,False,False,False,PASS
87,80,1,0.0,0.8875,0.0,1.0,1.9813232,1.0,0.0,28.332762,4.2,0.5,0.0,0.8650061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,4.9125,1.0,0.0,0.0,0.8717543,False,False,False,False,False,False,False,False,False,False,False,False,PASS
88,80,1,0.0,0.925,0.0,1.0,10.920915,0.0,0.0,129.64256,7.1000000000000005,0.0,0.0,0.84117264,1.0,0.0,0.0,0.0,0.0,2.636238,9.490457,0.83905435,5.0,5.0,1.0,0.90075505,0.75853056,0.8663208,False,False,False,False,False,False,False,False,False,False,False,False,PASS
